InChI,XLogP,ALogp2,nAtomP,ALogP,nB,AMR,nAtom,MLogP,nRotB
"InChI=1S/C13H9NO2/c15-14(16)11-5-6-13-10(8-11)7-9-3-1-2-4-12(9)13/h1-6,8H,7H2",5.86100006103516,0.16777215898037,15.0,0.409599989652634,18.0,7.48680019378662,25.0,2.55999994277954,1.0
"InChI=1S/C14H12FNO/c1-10(17)16-14-8-4-12(5-9-14)11-2-6-13(15)7-3-11/h2-9H,1H3,(H,16,17)",4.97399997711182,0.166464000940323,15.0,0.407999992370605,18.0,14.7733001708984,29.0,2.67000007629395,2.0
"InChI=1S/C14H12N4O2/c15-5-1-2-6(16)10-9(5)13(19)11-7(17)3-4-8(18)12(11)14(10)20/h1-4H,15-18H2",-0.889999985694885,12.4411401748657,20.0,-3.5271999835968,22.0,27.5804004669189,32.0,2.33999991416931,0.0
"InChI=1S/C14H12N4O3S/c19-8-7-15-13-9-3-1-2-4-10(9)16-14(17-13)11-5-6-12(22-11)18(20)21/h1-6,19H,7-8H2,(H,15,16,17)",2.60400009155273,0.778100430965424,10.0,-0.882099986076355,24.0,37.657600402832,36.0,2.11999988555908,4.0
"InChI=1S/C14H13N3O2S/c1-19-13-7-9(20(2)18)3-4-10(13)14-16-11-5-6-15-8-12(11)17-14/h3-8H,1-2H3,(H,16,17)",0.686999976634979,0.22155849635601,9.0,-0.470699995756149,22.0,22.1777000427246,32.0,2.33999991416931,3.0
"InChI=1S/C14H13NO/c1-11(16)15-14-9-7-13(8-10-14)12-5-3-2-4-6-12/h2-10H,1H3,(H,15,16)",6.07000017166138,0.00514088990166783,15.0,-0.0716999992728233,17.0,13.9007997512817,29.0,2.77999997138977,2.0
"InChI=1S/C14H14ClN3O2S/c1-8-4-3-5-10(9(8)2)16-12-6-11(15)17-14(18-12)21-7-13(19)20/h3-6H,7H2,1-2H3,(H,19,20)(H,16,17,18)",2.97399997711182,3.82241606712341,9.0,1.95510005950928,22.0,59.7943992614746,39.0,2.23000001907349,4.0
"InChI=1S/C14H14N2/c1-2-16-13-6-4-3-5-11(13)12-9-10(15)7-8-14(12)16/h3-9H,2,15H2,1H3",3.49900007247925,0.147456005215645,14.0,-0.38400000333786,18.0,17.1105995178223,30.0,2.77999997138977,1.0
"InChI=1S/C14H15N3/c1-10-5-3-4-6-14(10)17-16-12-7-8-13(15)11(2)9-12/h3-9H,15H2,1-2H3",5.08300018310547,0.285262823104858,15.0,0.534099996089935,18.0,15.226300239563,32.0,2.67000007629395,2.0
"InChI=1S/C14H15N3/c1-17(2)14-10-8-13(9-11-14)16-15-12-6-4-3-5-7-12/h3-11H,1-2H3",5.48799991607666,0.0474368408322334,15.0,0.217800006270409,18.0,14.2913999557495,32.0,2.67000007629395,3.0
"InChI=1S/C14H15N3O2/c1-14(2)9-7-8(3-4-11(9)15-13(14)19)10-5-6-12(18)17-16-10/h3-4,7H,5-6H2,1-2H3,(H,15,19)(H,17,18)",2.60400009155273,0.511224985122681,14.0,0.714999973773956,21.0,46.2789993286133,34.0,2.45000004768372,1.0
"InChI=1S/C14H16N2/c1-9-7-11(3-5-13(9)15)12-4-6-14(16)10(2)8-12/h3-8H,15-16H2,1-2H3",3.34599995613098,0.0465696416795254,14.0,-0.215800002217293,17.0,19.4484004974365,32.0,2.77999997138977,1.0
"InChI=1S/C14H16N2O2/c1-17-13-7-9(3-5-11(13)15)10-4-6-12(16)14(8-10)18-2/h3-8H,15-16H2,1-2H3",1.81200003623962,2.57089161872864,16.0,-1.60339999198914,19.0,23.0757999420166,34.0,2.55999994277954,3.0
"InChI=1S/C14H18ClNO4S/c1-9-5-10(2)8-16(7-9)21(19,20)11-3-4-13(15)12(6-11)14(17)18/h3-4,6,9-10H,5,7-8H2,1-2H3,(H,17,18)",2.29999995231628,0.00633616000413895,13.0,-0.0795999988913536,22.0,55.3368988037109,39.0,2.23000001907349,3.0
"InChI=1S/C14H19Cl2NO2/c15-8-10-17(11-9-16)13-6-4-12(5-7-13)2-1-3-14(18)19/h4-7H,1-3,8-11H2,(H,18,19)",4.29199981689453,1.24902975559235,7.0,1.11759996414185,19.0,52.5234985351562,38.0,2.45000004768372,9.0
"InChI=1S/C14H19N3S/c1-16(2)9-10-17(12-13-6-5-11-18-13)14-7-3-4-8-15-14/h3-8,11H,9-10,12H2,1-2H3",2.95000004768372,0.733420968055725,7.0,0.85640001296997,19.0,39.119499206543,37.0,2.55999994277954,6.0
"InChI=1S/C14H7Br2NO2/c15-8-5-9(16)12(17)11-10(8)13(18)6-3-1-2-4-7(6)14(11)19/h1-5H,17H2",3.49000000953674,0.250100016593933,17.0,0.500100016593933,21.0,32.1123008728027,26.0,2.45000004768372,0.0
"InChI=1S/C14H8O3/c15-11-7-3-6-10-12(11)14(17)9-5-2-1-4-8(9)13(10)16/h1-7,15H",2.68899989128113,0.975946426391602,17.0,-0.987900018692017,19.0,13.2566003799438,25.0,2.67000007629395,0.0
"InChI=1S/C14H8O4/c15-9-5-1-3-7-11(9)14(18)12-8(13(7)17)4-2-6-10(12)16/h1-6,15-16H",1.30400002002716,2.09728312492371,18.0,-1.4481999874115,20.0,15.8212003707886,26.0,2.55999994277954,0.0
"InChI=1S/C14H8O5/c15-8-5-9(16)14(19)11-10(8)12(17)6-3-1-2-4-7(6)13(11)18/h1-5,15-16,19H",1.19200003147125,3.64237213134766,19.0,-1.90849995613098,21.0,18.385799407959,27.0,2.45000004768372,0.0
"InChI=1S/C14H9Cl5/c15-11-5-1-9(2-6-11)13(14(17,18)19)10-3-7-12(16)8-4-10/h1-8,13H",7.01999998092651,9.87530612945557,6.0,3.14249992370605,20.0,35.7430992126465,28.0,2.45000004768372,3.0
