"SMILES","LOAEL parental as dose (mg/kg bw per day)"
"ClC(Cl)(Cl)C1=NSC(OCC)=N1",21.299999237060500
"ClC(C=C2)=CC=C2C1=C(C#N)C(Br)=C(C(F)(F)F)N1COCC",22.000000000000000
"CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C",22.000000000000000
"N#CC(C(Cl)=CC=C1)=C1Cl",23.000000000000000
"FC1=CC=C(C2(CN4C=NC=N4)C(C3=CC=CC=C3Cl)O2)C=C1",23.000000000000000
"CNC(OC1=CC=CC(/N=C/N(C)C)=C1)=O",23.299999237060500
"FC(F)(F)/C(Cl)=C/C1C(C)(C)C1C(OCC2=C(F)C(F)=C(C)C(F)=C2F)=O",23.399999618530300
"FC(F)(F)C1=CC(NC(N(C)C)=O)=CC=C1",24.000000000000000
"[S]C(NCCNC(S[Mn])=S)=S",24.000000000000000
"FC(F)(F)C1=CC=C(C(S(C)(=O)=NC#N)C)C=N1",24.600000381469700
"NC#N",25.000000000000000
"CC(C)(C1=CC=C(CCOC2=NC=NC3=CC=CC=C23)C=C1)C",25.000000000000000
"O=C(O)COC1=NC(Cl)=C(Cl)C=C1Cl",25.000000000000000
"CN(C)C(S[Zn]SC(N(C)C)=S)=S",25.000000000000000
"FC(F)(F)C1=CC(Cl)=C(OC2=CC=C([N+]([O-])=O)C(OCC)=C2)C=C1",26.000000000000000
"CCOP(OC2=NN(C=N2)C1=CC=CC=C1)(OCC)=S",26.000000000000000
"N=C(N)NCCCCCCCCCCCC.OC(C)=O",26.200000762939500
"ClC1=CC=C(C2=CC(F)=CC=C2NC(C3=CN(C)N=C3C(F)F)=O)C=C1Cl",26.399999618530300
"NC(NCCCCCCCCNC(N)=N)=N",27.000000000000000
"CC(CCCCCC)C1=C(OC(/C=C\C)=O)C([N+]([O-])=O)=CC([N+]([O-])=O)=C1",27.399999618530300
"O=C(C2=C1C=CC=C2)C(SC(C#N)=C(C#N)S3)=C3C1=O",27.600000381469700
"FC(F)(C1=CC=CC(N2CC(C(C2=O)Cl)CCl)=C1)F",28.000000000000000
"CCOP(OCC)(SCN1C(OC2=C1C=CC(Cl)=C2)=O)=S",28.000000000000000
"CC1=C(N2C(S3)=NN=C2)C3=CC=C1",28.700000762939500
"O=C(OC(C#N)C2=CC(OC3=CC=CC=C3)=C(F)C=C2)C1C(/C=C(Cl)/Cl)C(C)1C",29.000000000000000
"OC(C(C(C)C)CC2)(CN3N=CN=C3)C2CC1=CC=C(Cl)C=C1",29.000000000000000
"CC(C)(C2=CC=C(C=C2)OC1CCCCC1OS(OCC#C)=O)C",29.000000000000000
"ClC1=CC=C(OC(N2N=CN=C2)C(O)C(C)(C)C)C=C1",29.000000000000000
"C1(NC2=CC=CC=C2)=CC=CC=C1",30.000000000000000
"O=C(NC3=CC=C(OC(F)(F)F)C=C3)N/N=C(C2=CC=C(C(F)(F)F)C=C2)/CC1=CC=C(C#N)C=C1",30.000000000000000
"C2(C3=CSC=N3)=NC1=CC=CC=C1N2",30.000000000000000
"O=C(SC/C(Cl)=C(Cl)\Cl)N(C(C)C)C(C)C",30.739999771118200
"O=C2C(N)=C(Cl)C(C1=CC=CC=C12)=O",30.899999618530300
"O=C(NC(NCC)=O)/C(C#N)=N\OC",31.600000381469700
"ClC(C(SCC(O)=O)=C3)=CC(F)=C3\N=C2/SC(N1CCCCN12)=O",31.799999237060500
"OC1(CN3C=NC=N3)C(C)(C)CCC1CC2=CC=C(Cl)C=C2",32.000000000000000
"O=C(NC(NCC)=O)/C(C#N)=N\OC",32.099998474121100
"CN/C(NCC1=CN=C(Cl)S1)=N\[N+]([O-])=O",32.700000762939500
"O=P(SC)(OC)NC(C)=O",33.000000000000000
"O=C(C2C(/C=C(Cl)/Cl)C(C)2C)OCC1=CC(OC3=CC=CC=C3)=CC=C1",33.000000000000000
"CON(C(OC)=O)C(C=CC=C3)=C3COC2=NN(C=C2)C1=CC=C(Cl)C=C1",33.000000000000000
"CS(NC1=C(Cl)C=C(Cl)C(N2C(N(C(F)F)C(C)=N2)=O)=C1)(=O)=O",33.000000000000000
"CC(C)C1=NN(C(=O)N1N)C(=O)NC(C)(C)C",33.900001525878900
"NC1=C(C(OC2=CC=CC=C2)=CC=C1[N+]([O-])=O)Cl",35.000000000000000
"O=P(OCC)(SCCC)OC1=C(Cl)C=C(Br)C=C1",35.000000000000000
"CCCC1COC(C2=CC=C(Cl)C=C2Cl)(CN3N=CN=C3)O1",35.000000000000000
"CCNC1=NC(NC(C)C)=NC(Cl)=N1",36.099998474121100
"O=C1C(C2=CC=CC=C2)=NN=C(C)N1N",36.400001525878900
"CCOC(C(OC3=CC=C(C=C3)OC2=NC1=CC=C(Cl)C=C1N=C2)C)=O",37.799999237060500
"O=C1C(/C(CCC)=N\OCC)=C(O)CC(C2CSCCC2)C1",38.000000000000000
"CC(OC(C(C1=CC=C(Br)C=C1)(C2=CC=C(Br)C=C2)O)=O)C",40.000000000000000
"ClC1=C(C2=NN=C(C3=C(Cl)C=CC=C3)N=N2)C=CC=C1",40.000000000000000
"O=S(C(C)=C(C)S(CC1)(=O)=O)1=O",40.000000000000000
"O=C(OCC)NCCOC1=CC=C(OC2=CC=CC=C2)C=C1",40.000000000000000
"O=C(O)COC(C=CC(Cl)=C1)=C1C",40.000000000000000
"O=[N+]([O-])C1=CC(C(F)(F)F)=CC([N+]([O-])=O)=C1N(CCC)CCC",40.700000762939500
"CC(C(O)=O)OC(C=CC(Cl)=C1)=C1Cl",42.000000000000000
"CC(CC2=CC=C(C(C)(C)C)C=C2)CN1CCCCC1",42.000000000000000
"O=C(CC)NC1=CC(Cl)=C(Cl)C=C1",43.000000000000000
"CC(C(OCC#C)=O)OC1=CC=C(OC2=C(F)C=C(Cl)C=N2)C=C1",44.000000000000000
"CC1=CC=CC(=C1S(=O)(=O)NC(=O)NC2=NC(=NC(=N2)OCC(F)(F)F)N(C)C)C(=O)O",44.000000000000000
"O=S(C1=C(C)C=CC=C1C(OC)=O)(NC(NC2=NC(OCC(F)(F)F)=NC(N(C)C)=N2)=O)=O",44.000000000000000
"O=C(C(O3)(C)C(C=C2)=CC=C2OC1=CC=CC=C1)N(NC4=CC=CC=C4)C3=O",44.700000762939500
"O=C(C(C(Cl)=C(Cl)C(C(OC)=O)=C1Cl)=C1Cl)OC",45.000000000000000
"CC1=CC(C)=CC(C)=C1C2=C(OC(CC(C)(C)C)=O)C3(CCCC3)OC2=O",46.500000000000000
"O=[N+]([O-])C1=CC(C(F)(F)F)=CC([N+]([O-])=O)=C1N(CCC)CCC",47.000000000000000
"CCN(CCCC)C1=C([N+]([O-])=O)C=C(C(F)(F)F)C=C1[N+]([O-])=O",50.000000000000000
"N#CC1=CC(F)=C(OC2=CC=C(OC(C)C(OCCCC)=O)C=C2)C=C1",50.000000000000000
"CC2(C)C=C(C)C1=CC(OCC)=CC=C1N2",50.000000000000000
"CN1C=C(C(=N1)C(F)F)C(=O)NC2=CC=CC=C2C3=CC(=C(C(=C3)F)F)F",50.000000000000000
