InChI,nAtomP,nB,nAtomLC,naAromAtom,nAromBond,ALogP,nRotB,MLogP,XLogP,LipinskiFailures,ALogp2,AMR,nAtomLAC,nHBDon,nAtom
"InChI=1S/C12H13N3O/c13-8-1-3-9(4-2-8)16-10-5-6-11(14)12(15)7-10/h1-7H,13-15H2",16.0,17.0,0.0,12.0,12.0,-2.40380001068115,2.0,2.33999991416931,1.59399998188019,0.0,5.77825450897217,14.285400390625,0.0,3.0,29.0
"InChI=1S/C12H13NO4S2/c1-2-18(14,15)11-7-8-12(19(13,16)17)10-6-4-3-5-9(10)11/h3-8H,2H2,1H3,(H2,13,16,17)",17.0,20.0,5.0,10.0,11.0,-1.00899994373322,3.0,2.00999999046326,1.83800005912781,0.0,1.01808094978333,29.7737007141113,2.0,1.0,32.0
"InChI=1S/C12H14N2O2/c1-2-12(9-6-4-3-5-7-9)10(15)13-8-14-11(12)16/h3-7H,2,8H2,1H3,(H,13,15)(H,14,16)",6.0,17.0,2.0,6.0,6.0,-1.25660002231598,2.0,2.33999991416931,3.51799988746643,0.0,1.57904350757599,32.5567016601562,2.0,2.0,30.0
"InChI=1S/C12H14N4/c13-9-3-1-7(5-11(9)15)8-2-4-10(14)12(16)6-8/h1-6H,13-16H2",16.0,17.0,0.0,12.0,12.0,-2.99959993362427,1.0,2.33999991416931,0.639999985694885,0.0,8.99760055541992,16.8883991241455,0.0,,30.0
"InChI=1S/C12H14N4O2S/c1-8-7-9(2)15-12(14-8)16-19(17,18)11-5-3-10(13)4-6-11/h3-7H,13H2,1-2H3,(H,14,15,16)",17.0,20.0,4.0,12.0,12.0,-0.807399988174438,3.0,2.00999999046326,1.73399996757507,0.0,0.651894748210907,26.8286991119385,0.0,2.0,33.0
"InChI=1S/C12H14O4/c1-2-9(13-5-11-7-15-11)4-10(3-1)14-6-12-8-16-12/h1-4,11-12H,5-8H2",8.0,18.0,2.0,6.0,6.0,-0.670799970626831,6.0,2.33999991416931,1.182000041008,0.0,0.449972629547119,32.1209983825684,0.0,0.0,30.0
"InChI=1S/C12H15N3O5/c13-9(12(19)20)5-6-10(16)15-14-8-3-1-7(2-4-8)11(17)18/h1-4,9,14H,5-6,13H2,(H,15,16)(H,17,18)(H,19,20)",13.0,20.0,11.0,6.0,6.0,-2.14179992675781,7.0,1.89999997615814,-0.72299998998642,0.0,4.58730745315552,41.2206993103027,5.0,5.0,35.0
"InChI=1S/C12H15N3O6/c1-6-9(13(16)17)7(2)11(15(20)21)8(12(3,4)5)10(6)14(18)19/h1-5H3",15.0,21.0,3.0,6.0,6.0,2.70040011405945,4.0,1.78999996185303,4.47599983215332,0.0,7.29216003417969,38.7883987426758,0.0,0.0,36.0
"InChI=1S/C12H17NO3/c1-3-16-11-6-4-10(5-7-11)13-12(15)8-9(2)14/h4-7,9,14H,3,8H2,1-2H3,(H,13,15)",10.0,16.0,7.0,6.0,6.0,-0.86080002784729,6.0,2.33999991416931,2.03099989891052,0.0,0.740976631641388,35.461498260498,4.0,,33.0
"InChI=1S/C12H19N3O/c1-9(2)15-12(16)11-6-4-10(5-7-11)8-14-13-3/h4-7,9,13-14H,8H2,1-3H3,(H,15,16)",9.0,16.0,6.0,6.0,6.0,-1.30949997901917,6.0,2.33999991416931,2.76900005340576,0.0,1.71479022502899,39.6456985473633,0.0,3.0,35.0
"InChI=1S/C12H27O4P/c1-4-7-10-14-17(13,15-11-8-5-2)16-12-9-6-3/h4-12H2,1-3H3",5.0,16.0,17.0,0.0,0.0,-1.63800001144409,12.0,2.23000001907349,3.35999989509583,1.0,2.68304395675659,60.3110008239746,4.0,0.0,44.0
"InChI=1S/C12H8Cl6/c13-8-9(14)11(16)7-5-2-1-4(3-5)6(7)10(8,15)12(11,17)18/h1-2,4-7H,3H2",2.0,21.0,0.0,0.0,0.0,3.06080007553101,0.0,2.11999988555908,4.1560001373291,0.0,9.36849689483643,78.0286026000977,0.0,0.0,26.0
"InChI=1S/C12H8Cl6O/c13-8-9(14)11(16)5-3-1-2(6-7(3)19-6)4(5)10(8,15)12(11,17)18/h2-7H,1H2",2.0,23.0,0.0,0.0,0.0,2.33809995651245,0.0,2.00999999046326,3.00500011444092,0.0,5.46671152114868,76.1249008178711,0.0,0.0,27.0
"InChI=1S/C12H9N/c1-3-7-11-9(5-1)10-6-2-4-8-12(10)13-11/h1-8,13H",13.0,15.0,0.0,12.0,15.0,0.0,0.0,2.67000007629395,4.19000005722046,0.0,0.0,0.0,0.0,1.0,21.0
"InChI=1S/C12H9NO/c13-8-5-6-12-10(7-8)9-3-1-2-4-11(9)14-12/h1-7H,13H2",14.0,16.0,0.0,12.0,15.0,-0.903999984264374,0.0,2.55999994277954,3.03299999237061,0.0,0.817215979099274,5.84119987487793,0.0,1.0,23.0
"InChI=1S/C12H9NO2/c14-13(15)11-7-6-9-5-4-8-2-1-3-10(11)12(8)9/h1-3,6-7H,4-5H2",13.0,17.0,3.0,10.0,11.0,0.0781999975442886,1.0,2.45000004768372,4.86499977111816,0.0,0.00611524004489183,12.6166000366211,0.0,0.0,24.0
"InChI=1S/C13H11ClO/c14-12-6-7-13(15)11(9-12)8-10-4-2-1-3-5-10/h1-7,9,15H,8H2",7.0,16.0,0.0,12.0,12.0,0.740199983119965,2.0,2.67000007629395,5.51700019836426,1.0,0.547896027565002,12.7812004089355,0.0,1.0,26.0
"InChI=1S/C13H12Cl2N2/c14-10-6-8(1-3-12(10)16)5-9-2-4-13(17)11(15)7-9/h1-4,6-7H,5,16-17H2",7.0,18.0,0.0,12.0,12.0,0.444999992847443,2.0,2.45000004768372,3.46099996566772,0.0,0.1980250030756,24.2763996124268,0.0,2.0,29.0
"InChI=1S/C13H12N4/c1-17-11-7-10(9-5-3-2-4-6-9)8-15-12(11)16-13(17)14/h2-8H,1H3,(H2,14,15,16)",16.0,19.0,0.0,12.0,12.0,-0.36719998717308,1.0,2.45000004768372,4.9539999961853,0.0,0.134835839271545,16.8964004516602,0.0,,29.0
"InChI=1S/C13H13N3/c1-7-12-11(8(2)15-13(7)14)9-5-3-4-6-10(9)16-12/h3-6,16H,1-2H3,(H2,14,15)",7.0,18.0,0.0,6.0,10.0,-0.180899992585182,0.0,2.55999994277954,2.8659999370575,0.0,0.0327248089015484,27.3493003845215,0.0,,30.0
"InChI=1S/C13H13N3O/c1-17-13-9-11(7-8-12(13)14)16-15-10-5-3-2-4-6-10/h2-9H,14H2,1H3",16.0,18.0,2.0,12.0,12.0,-0.801699995994568,3.0,2.45000004768372,4.41499996185303,0.0,0.642722904682159,11.5378999710083,0.0,1.0,30.0
"InChI=1S/C13H14Cl2O3/c1-12(2,11(16)17)18-9-5-3-8(4-6-9)10-7-13(10,14)15/h3-6,10H,7H2,1-2H3,(H,16,17)",7.0,19.0,7.0,6.0,6.0,1.23710000514984,4.0,2.33999991416931,3.59400010108948,0.0,1.53041636943817,44.3660011291504,3.0,1.0,32.0
"InChI=1S/C13H14N2/c14-12-5-1-10(2-6-12)9-11-3-7-13(15)8-4-11/h1-8H,9,14-15H2",7.0,16.0,0.0,12.0,12.0,-1.04359996318817,2.0,2.67000007629395,3.69099998474121,0.0,1.08910095691681,13.0452003479004,0.0,1.0,29.0
"InChI=1S/C13H16F3N3O4/c1-3-5-17(6-4-2)12-10(18(20)21)7-9(13(14,15)16)8-11(12)19(22)23/h7-8H,3-6H2,1-2H3",13.0,23.0,7.0,6.0,6.0,0.567900002002716,8.0,1.78999996185303,4.84499979019165,0.0,0.322510421276093,42.1492004394531,3.0,0.0,39.0
"InChI=1S/C13H17N3O4S/c1-10-12(14(2)9-21(18,19)20)13(17)16(15(10)3)11-7-5-4-6-8-11/h4-8H,9H2,1-3H3,(H,18,19,20)",10.0,22.0,7.0,6.0,6.0,-1.09599995613098,4.0,2.00999999046326,0.335999995470047,0.0,1.20121598243713,52.4035987854004,0.0,,40.0
"InChI=1S/C13H18Cl2N2O2/c14-5-7-17(8-6-15)11-3-1-10(2-4-11)9-12(16)13(18)19/h1-4,12H,5-9,16H2,(H,18,19)",7.0,19.0,7.0,6.0,6.0,0.463800013065338,8.0,2.23000001907349,0.514999985694885,0.0,0.215110436081886,52.6076011657715,3.0,2.0,37.0
"InChI=1S/C13H19NO4S/c1-3-9-14(10-4-2)19(17,18)12-7-5-11(6-8-12)13(15)16/h5-8H,3-4,9-10H2,1-2H3,(H,15,16)",13.0,19.0,10.0,6.0,6.0,-1.62650001049042,7.0,2.23000001907349,2.30800008773804,0.0,2.64550232887268,45.4058990478516,3.0,1.0,38.0
"InChI=1S/C14H10Cl4/c15-11-5-1-9(2-6-11)13(14(17)18)10-3-7-12(16)8-4-10/h1-8,13-14H",6.0,19.0,4.0,12.0,12.0,2.6538999080658,3.0,2.55999994277954,6.36700010299683,1.0,7.04318523406982,30.1860008239746,2.0,0.0,28.0
"InChI=1S/C14H13N3O3/c1-20-13-8-10(2-3-12(13)18)9-16-17-14(19)11-4-6-15-7-5-11/h2-9,16H,1H3,(H,17,19)",19.0,21.0,5.0,6.0,6.0,-1.23749995231628,5.0,2.33999991416931,1.24699997901917,0.0,1.5314062833786,51.63330078125,0.0,,33.0
